id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
289,Pashchim Champaran,Chanpatiya,CHANPATIA,RAHIPUR RAMPURWA,15,TIKA CHHAPRA,TIKA CHHAPRA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004746136)
290,Pashchim Champaran,Chanpatiya,CHANPATIA,RAHIPUR RAMPURWA,16,TIKA CHHAPRA,TIRHUTIA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544579)
291,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,1,KARAMPATTI,DHANGAR TOLA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004742908)
292,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,2,KARAMPATTI,DHANGAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544561)
293,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,3,KARAMPATTI,KARANPATTI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544562)
294,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,4,KARAMPATTI,SUKLA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544563)
295,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,5,LAGUNAHA,BAURGANI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544564)
296,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,6,LAGUNAHA,DHOBI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544565)
297,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,7,LAGUNAHA,LAGUNAHA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980766)
298,Pashchim Champaran,Chanpatiya,CHANPATIA,POKHARIA KHARG,8,LAGUNAHA,PANHARIA TOLA,Deep tubewell,Ground Water,Virendra Kushw aha,HandPump,Chanpatia Scheme(0003904094)
