S. No.,State,District,AC,Block,Panchayat,Village,Habitation,Location,Type Of Source,Lab Name,Testing Date,Above Permissible Limit +ACY- (6.5 +ADw- pH +AD4- 8.5) (Mandatory+ACo-),Below Permissible Limit (Mandatory+ACo-),Above Permissible Limit (Emerging / Other+ACoAKg-),Below Permissible Limit (Emerging / Other+ACoAKg-)
40,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PATHARAGOUR DHOE,PATHRAGORDHOI,SARDAR TOLA,SC49270,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.75 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-322.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
41,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,LAXMINIYA,SC150002117,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.46 Mg/l+AF0-,pH+AFs-7.32 PH+AF0-,TDS+AFs-382.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
42,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,LAXMINIYA,Inside Habitation / SC150090851,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.74 Mg/l+AF0-,pH+AFs-7.25 PH+AF0-,TDS+AFs-318.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
43,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,LAXMINIYA,SC2492489,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.17 Mg/l+AF0-,Fluoride+AFs-0.68 Mg/l+AF0-,pH+AFs-7.16 PH+AF0-,TDS+AFs-342.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
44,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,LAXMINIYA,SC3927668,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.27 Mg/l+AF0-,Fluoride+AFs-0.86 Mg/l+AF0-,pH+AFs-7.20 PH+AF0-,TDS+AFs-352.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
45,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,LAXMINIYA,SC4621768,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.75 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-365.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
46,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,LAXMINIYA,Community House Lachhminia 198 / SC5015871,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.27 Mg/l+AF0-,Fluoride+AFs-0.58 Mg/l+AF0-,pH+AFs-7.11 PH+AF0-,TDS+AFs-285.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
47,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MAHTO TOLA,Inside Habitation / SC150090852,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.25 Mg/l+AF0-,Fluoride+AFs-0.74 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-351.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
48,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MAHTO TOLA,SC3927667,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.78 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-365.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
49,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MAHTO TOLA,SC4621767,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.69 Mg/l+AF0-,pH+AFs-7.26 PH+AF0-,TDS+AFs-318.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
50,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MUSHARI,SC150002116,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.61 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-318.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
51,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MUSHARI,Inside Habitation / SC150086166,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.29 Mg/l+AF0-,Fluoride+AFs-0.68 Mg/l+AF0-,pH+AFs-7.15 PH+AF0-,TDS+AFs-352.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
52,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MUSHARI,Inside Habitation / SC150090854,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.57 Mg/l+AF0-,pH+AFs-7.28 PH+AF0-,TDS+AFs-318.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
53,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MUSHARI,SC1741670,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.69 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-327.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
54,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MUSHARI,SC3927666,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.16 Mg/l+AF0-,Fluoride+AFs-0.73 Mg/l+AF0-,pH+AFs-7.21 PH+AF0-,TDS+AFs-346.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
55,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,MUSHARI,SC4621766,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.27 Mg/l+AF0-,Fluoride+AFs-0.63 Mg/l+AF0-,pH+AFs-7.08 PH+AF0-,TDS+AFs-317.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
56,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,SARDAR TOLA,SC150002115,Deep Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.78 Mg/l+AF0-,pH+AFs-7.28 PH+AF0-,TDS+AFs-368.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
57,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,SARDAR TOLA,Inside Habitation / SC150086165,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.65 Mg/l+AF0-,pH+AFs-7.12 PH+AF0-,TDS+AFs-341.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
58,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,SARDAR TOLA,Inside Habitation / SC150090853,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.75 Mg/l+AF0-,pH+AFs-7.24 PH+AF0-,TDS+AFs-362.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
59,BIHAR,SUPAUL,TRIVENIGANJ,TRIBENIGANJ,PILUWAHA,LACHHMINIA,SARDAR TOLA,SC1741678,Shallow Tubewell,SUPAUL,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.61 Mg/l+AF0-,pH+AFs-7.18 PH+AF0-,TDS+AFs-318.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
