"S. No.","State","District","AC","Block","Panchayat","Village","Habitation","Location","Type Of Source","Lab Name","Testing Date","Above Permissible Limit & (6.5 < pH > 8.5) (Mandatory*)","Below Permissible Limit (Mandatory*)","Above Permissible Limit (Emerging / Other**)","Below Permissible Limit (Emerging / Other**)"
218,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","SIRSIA","SIRASIYA","Nc/Pc Scheme For Gaunaha Block / SC4448483","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.62 Mg/l],pH[6.92 PH],TDS[355.00 Mg/l]",,"Turbidity[2.00 NTU]"
219,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","SIRSIA","SIRASIYA","SC5649783","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.21 Mg/l],Fluoride[0.84 Mg/l],pH[7.12 PH],TDS[375.00 Mg/l]",,"Turbidity[1.00 NTU]"
220,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","TAHKAUL","TAHKOUL","Nc/Pc Scheme For Gaunaha Block / SC4448484","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.51 Mg/l],pH[7.22 PH],TDS[348.00 Mg/l]",,"Turbidity[2.00 NTU]"
221,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","TAHKAUL","THARU TOLA","Nc/Pc Scheme For Gaunaha Block / SC4448485","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.25 Mg/l],Fluoride[0.57 Mg/l],pH[7.11 PH],TDS[384.00 Mg/l]",,"Turbidity[1.00 NTU]"
222,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SERWA MASJIDWA","TAHKAUL","THARU TOLA","Inside Habitation / SC5649782","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.68 Mg/l],pH[6.89 PH],TDS[395.00 Mg/l]",,"Turbidity[2.00 NTU]"
223,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SHITI","BAJNI","BAJNI","Nc/Pc Scheme For Gaunaha Block / SC4448486","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.65 Mg/l],pH[7.32 PH],TDS[392.00 Mg/l]",,"Turbidity[2.00 NTU]"
224,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SHITI","BAJNI","BAJNI BICH","Nc/Pc Scheme For Gaunaha Block / SC4448487","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.69 Mg/l],pH[7.22 PH],TDS[395.00 Mg/l]",,"Turbidity[2.00 NTU]"
225,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SHITI","BAJNI","MAHTO TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448488","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.21 Mg/l],Fluoride[0.47 Mg/l],pH[7.15 PH],TDS[378.00 Mg/l]",,"Turbidity[1.00 NTU]"
226,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BAKHRI","BAKHARI","Nc/Pc Scheme For Gaunaha Block / SC4448489","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.12 Mg/l],Fluoride[0.38 Mg/l],pH[6.98 PH],TDS[379.00 Mg/l]",,"Turbidity[2.00 NTU]"
227,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BAKHRI","DISWAH TOLA","Nc/Pc Scheme For Gaunaha Block / SC4448490","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.21 Mg/l],Fluoride[0.83 Mg/l],pH[7.19 PH],TDS[357.00 Mg/l]",,"Turbidity[1.00 NTU]"
228,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BAKHRI","HARIJAN TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448491","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.69 Mg/l],pH[7.21 PH],TDS[395.00 Mg/l]",,"Turbidity[1.00 NTU]"
229,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BAKHRI","SEKH TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448492","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.53 Mg/l],pH[7.15 PH],TDS[364.00 Mg/l]",,"Turbidity[1.00 NTU]"
230,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BIJAYPUR","BANIYA TOLA","Near Baniya Basti / SC150143602","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.22 Mg/l],Fluoride[0.55 Mg/l],pH[7.24 PH],TDS[382.00 Mg/l]",,"Turbidity[2.00 NTU]"
231,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BIJAYPUR","BANIYA TOLA","Nc/Pc Scheme For Gaunaha Block / SC4448493","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.69 Mg/l],pH[7.16 PH],TDS[395.00 Mg/l]",,"Turbidity[1.00 NTU]"
232,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BIJAYPUR","BIJAYPUR","Nc/Pc Scheme For Gaunaha Block / SC4448494","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.21 Mg/l],Fluoride[0.84 Mg/l],pH[7.11 PH],TDS[375.00 Mg/l]",,"Turbidity[1.00 NTU]"
233,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BIJAYPUR","BIJAYPUR BICH","Nc/Pc Scheme For Gaunaha Block / SC4448495","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.51 Mg/l],pH[7.16 PH],TDS[345.00 Mg/l]",,"Turbidity[1.00 NTU]"
234,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BIJAYPUR","DAKHIN TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448496","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.65 Mg/l],pH[7.35 PH],TDS[386.00 Mg/l]",,"Turbidity[2.00 NTU]"
235,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BIJAYPUR","KAZI TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448497","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.27 Mg/l],Fluoride[0.74 Mg/l],pH[7.15 PH],TDS[378.00 Mg/l]",,"Turbidity[1.00 NTU]"
236,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BIJAYPUR","KHAR KASBA","Nc/Pc Scheme For Gaunaha Block / SC4448498","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.65 Mg/l],pH[7.22 PH],TDS[385.00 Mg/l]",,"Turbidity[2.00 NTU]"
237,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BISHUNPURWA","BISHUN PURWA","INSIDE HABITATION / SC150125006","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.42 Mg/l],pH[7.23 PH],TDS[354.00 Mg/l]",,"Turbidity[2.00 NTU]"
238,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BISHUNPURWA","BISHUN PURWA","ROAD SIDE / SC150125007","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.43 Mg/l],pH[7.21 PH],TDS[359.00 Mg/l]",,"Turbidity[1.00 NTU]"
239,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BISHUNPURWA","BISHUN PURWA","Nc/Pc Scheme For Gaunaha Block / SC4448499","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.25 Mg/l],Fluoride[0.47 Mg/l],pH[7.01 PH],TDS[336.00 Mg/l]",,"Turbidity[1.00 NTU]"
240,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BISHUNPURWA","BISHUN PURWA UTTARE","Nc/Pc Scheme For Gaunaha Block / SC4448500","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.85 Mg/l],pH[7.24 PH],TDS[358.00 Mg/l]",,"Turbidity[2.00 NTU]"
241,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BISHUNPURWA","HARIJAN TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448501","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.64 Mg/l],pH[7.15 PH],TDS[358.00 Mg/l]",,"Turbidity[1.00 NTU]"
242,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BISHUNPURWA","HARIJAN TOLI","Road Side / SC5649781","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.62 Mg/l],pH[7.23 PH],TDS[352.00 Mg/l]",,"Turbidity[2.00 NTU]"
243,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","BISHUNPURWA","SHAH TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448502","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.54 Mg/l],pH[7.11 PH],TDS[375.00 Mg/l]",,"Turbidity[1.00 NTU]"
244,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","DIH JAGARNATHPUR","DIH NAGARNATHPUR","Nc/Pc Scheme For Gaunaha Block / SC4448503","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.25 Mg/l],Fluoride[0.59 Mg/l],pH[7.22 PH],TDS[386.00 Mg/l]",,"Turbidity[2.00 NTU]"
245,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","DIH JAGARNATHPUR","HARIJAN TOLA","Nc/Pc Scheme For Gaunaha Block / SC4448504","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.65 Mg/l],pH[7.24 PH],TDS[385.00 Mg/l]",,"Turbidity[1.00 NTU]"
246,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","MANDIHA","MAHTOA GAON","Nc/Pc Scheme For Gaunaha Block / SC4448505","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.65 Mg/l],pH[7.22 PH],TDS[395.00 Mg/l]",,"Turbidity[2.00 NTU]"
247,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","MANDIHA","MANDIHA","Nc/Pc Scheme For Gaunaha Block / SC4448506","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.66 Mg/l],pH[7.14 PH],TDS[286.00 Mg/l]",,"Turbidity[1.00 NTU]"
248,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","MANDIHA","MANDIHA","SC5649780","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.82 Mg/l],pH[7.11 PH],TDS[357.00 Mg/l]",,"Turbidity[1.00 NTU]"
249,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","MANDIHA","MATH","Near Math / SC150143603","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.25 Mg/l],Fluoride[0.89 Mg/l],pH[7.10 PH],TDS[395.00 Mg/l]",,"Turbidity[1.00 NTU]"
250,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","MANDIHA","MATH","Nc/Pc Scheme For Gaunaha Block / SC4448507","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.54 Mg/l],pH[7.11 PH],TDS[345.00 Mg/l]",,"Turbidity[1.00 NTU]"
251,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","MANDIHA","MAZHI TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448508","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.82 Mg/l],pH[7.23 PH],TDS[358.00 Mg/l]",,"Turbidity[2.00 NTU]"
252,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","MANDIHA","MUSHHAR TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448509","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.66 Mg/l],pH[7.12 PH],TDS[356.00 Mg/l]",,"Turbidity[1.00 NTU]"
253,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","MANDIHA","URAWA NAGAD","Nc/Pc Scheme For Gaunaha Block / SC4448510","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.25 Mg/l],Fluoride[0.84 Mg/l],pH[7.15 PH],TDS[375.00 Mg/l]",,"Turbidity[1.00 NTU]"
254,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","PACHKAHAR","BKANDARI GUON","Nc/Pc Scheme For Gaunaha Block / SC4448511","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.62 Mg/l],pH[7.24 PH],TDS[353.00 Mg/l]",,"Turbidity[2.00 NTU]"
255,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","PACHKAHAR","MAHTO TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448512","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.69 Mg/l],pH[7.12 PH],TDS[365.00 Mg/l]",,"Turbidity[1.00 NTU]"
256,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","PACHKAHAR","MUKHIA TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448513","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.63 Mg/l],pH[7.24 PH],TDS[356.00 Mg/l]",,"Turbidity[2.00 NTU]"
257,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","PACHKAHAR","PACHKAHAR","Nc/Pc Scheme For Gaunaha Block / SC4448514","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.57 Mg/l],pH[7.15 PH],TDS[384.00 Mg/l]",,"Turbidity[1.00 NTU]"
258,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","SITHI","AMBEDKAR GAON","Nc/Pc Scheme For Gaunaha Block / SC4448515","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.63 Mg/l],pH[7.24 PH],TDS[356.00 Mg/l]",,"Turbidity[2.00 NTU]"
259,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","SITHI","AMBEDKAR GAON","SC5649777","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.23 Mg/l],Fluoride[0.54 Mg/l],pH[7.11 PH],TDS[384.00 Mg/l]",,"Turbidity[1.00 NTU]"
260,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","SITHI","AMBEDKAR GAON","SC5649778","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.65 Mg/l],pH[7.22 PH],TDS[359.00 Mg/l]",,"Turbidity[2.00 NTU]"
261,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","SITHI","HARIJAN TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448516","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.25 Mg/l],Fluoride[0.54 Mg/l],pH[7.14 PH],TDS[384.00 Mg/l]",,"Turbidity[1.00 NTU]"
262,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","SITHI","MAHTO TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448517","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.39 Mg/l],pH[7.21 PH],TDS[396.00 Mg/l]",,"Turbidity[1.00 NTU]"
263,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","SITHI","PANDIT TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448518","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.24 Mg/l],Fluoride[0.74 Mg/l],pH[7.26 PH],TDS[348.00 Mg/l]",,"Turbidity[2.00 NTU]"
264,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","SITHI","SITHI","Nc/Pc Scheme For Gaunaha Block / SC4448519","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.26 Mg/l],Fluoride[0.65 Mg/l],pH[7.22 PH],TDS[395.00 Mg/l]",,"Turbidity[2.00 NTU]"
265,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","SITHI","THARU TOLI","Nc/Pc Scheme For Gaunaha Block / SC4448520","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.25 Mg/l],Fluoride[0.51 Mg/l],pH[7.23 PH],TDS[349.00 Mg/l]",,"Turbidity[2.00 NTU]"
266,"BIHAR","PASHCHIM CHAMPARAN","Ramnagar","GAUNAHA","SITHI","SITHI","THARU TOLI","SC5649779","Deep Tubewell","PASHCHIM CHAMPARAN","09/09/2015",,"Iron[0.29 Mg/l],Fluoride[0.95 Mg/l],pH[7.24 PH],TDS[384.00 Mg/l]",,"Turbidity[2.00 NTU]"
267,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","SRINAGAR","SIRINAGAR","DUM DUMWA","INSIDE HABITATION / SC15012150 ]","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.87 Mg/l],pH[7.23 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
268,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","SRINAGAR","SIRINAGAR","DUM DUMWA","PIPAL KE PAS / SC150121506","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.85 Mg/l],pH[7.23 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
269,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","SRINAGAR","SIRINAGAR","DUM DUMWA","SC1720262","Shallow Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.87 Mg/l],pH[7.23 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
270,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","SRINAGAR","SIRINAGAR","JHAUA TOLA","INSIDE HABITATION / SC150121512","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.24 Mg/l],Fluoride[0.86 Mg/l],pH[7.28 PH],TDS[523.00 Mg/l]",,"Turbidity[2.00 NTU]"
271,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","SRINAGAR","SIRINAGAR","JHAUA TOLA","CHOUCK PER / SC150121513","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.25 Mg/l],Fluoride[0.86 Mg/l],pH[7.23 PH],TDS[555.00 Mg/l]",,"Turbidity[3.00 NTU]"
272,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","SRINAGAR","SIRINAGAR","JHAUA TOLA","SC1720272","Shallow Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.87 Mg/l],pH[7.26 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
273,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","SRINAGAR","SIRINAGAR","MUSHAR TOLA","INSIDE HABITATION / SC150121583","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.87 Mg/l],pH[7.36 PH],TDS[422.00 Mg/l]",,"Turbidity[3.00 NTU]"
274,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","SRINAGAR","SIRINAGAR","MUSHAR TOLA","NEAR TEMPLE / SC150121584","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.85 Mg/l],pH[7.23 PH],TDS[522.00 Mg/l]",,"Turbidity[3.00 NTU]"
275,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","SRINAGAR","SIRINAGAR","MU HAR TOLA 1","SC1720287","Shallow Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.85 Mg/l],pH[7.26 PH],TDS[522.00 Mg/l]",,"Turbidity[3.00 NTU]"
276,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","SRINAGAR","SIRINAGAR","PADARATH TOLA","SC1720291","Shallow Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.87 Mg/l],pH[7.23 PH],TDS[411.00 Mg/l]",,"Turbidity[3.00 NTU]"
277,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","SRINAGAR","SIRINAGAR","RAKHAHI(BIG)","SC1720298","Shallow Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.87 Mg/l],pH[7.23 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
278,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","SRINAGAR","SIRINAGAR","RAKHAHI(SMALL)","SC1720302","Shallow Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.87 Mg/l],pH[7.23 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
279,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","SRINAGAR","SIRINAGAR","SITA ROUT TOLA","SC1720310","Shallow Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.87 Mg/l],pH[7.23 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
280,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","SRINAGAR","SIRINAGAR","SRINAGAR","INSIDE HABITATION / SC150121602","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.87 Mg/l],pH[7.26 PH],TDS[412.00 Mg/l]",,"Turbidity[2.00 NTU]"
281,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","SRINAGAR","SIRINAGAR","SRINAGAR","NEAR PIPAL / SC150121603","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.87 Mg/l],pH[7.23 PH],TDS[411.00 Mg/l]",,"Turbidity[3.00 NTU]"
282,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","SRINAGAR","SIRINAGAR","SRINAGAR","SC1720313","Shallow Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.87 Mg/l],pH[7.23 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
283,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","BHAGWANPUR","BHAGWANPUR","Nc/Pc Scheme For Thakrahan Block / SC4450546","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.85 Mg/l],pH[7.26 PH],TDS[412.00 Mg/l]",,"Turbidity[2.00 NTU]"
284,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","BHAGWANPUR","BHAGWANPUR","SC4702506","Shallow Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.96 Mg/l],pH[7.23 PH],TDS[523.00 Mg/l]",,"Turbidity[3.00 NTU]"
285,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","BELWARI PATTI","P.S. Belwari Patti / SC150128142","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.26 Mg/l],Fluoride[0.85 Mg/l],pH[7.24 PH],TDS[523.00 Mg/l]",,"Turbidity[1.00 NTU]"
286,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","BELWARI PATTI","SC1720317","Shallow Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.23 Mg/l],Fluoride[0.70 Mg/l],pH[7.23 PH],TDS[412.00 Mg/l]",,"Turbidity[2.00 NTU]"
287,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","BELWARI PATTI","P.S. Belwari Patti / SC2523816","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.25 Mg/l],Fluoride[0.85 Mg/l],pH[7.23 PH],TDS[523.00 Mg/l]",,"Turbidity[2.00 NTU]"
288,"BIHAR","PASHCHIM CHAMPARAN","Valmiki Nagar","THAKRAHAN","THAKRAHA","THAKRAHA","BHUAL PATTI","P.S. Bhualpatti Balak / SC150128144","Deep Tubewell","PASHCHIM CHAMPARAN","19/05/2015",,"Iron[0.24 Mg/l],Fluoride[0.84 Mg/l],pH[7.23 PH],TDS[412.00 Mg/l]",,"Turbidity[3.00 NTU]"
