S. No,State,District,Block,Panchayat,Village,Habitation,Location,Type Of Source,Lab Name,Testing Date,Above Permissible Limit & (6.5 < pH > 8.5) (Mandatory*,Below Permissible Limit (Mandatory*),Above Permissibl Limit (Emerging / Other**),Below Permissibl Limit (Emerging / Other**)
147,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TADHWA NANDPUR,TADHWANANDPUR,DANI TOLA,SC1715846,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.24 Mg/l],Fluoride[0.47 Mg/l],pH[7.11 PH],TDS[375.00 Mg/l]",,Turbidity[1.00 NTU]
148,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TADHWA NANDPUR,TADHWANANDPUR,JAI RAUT KE TOLA,Nc/Pc Scheme For Bairia Block / SC4448018,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.24 Mg/l],Fluoride[0.75 Mg/l],pH[7.23 PH],TDS[348.00 Mg/l]",,Turbidity[2.00 NTU]
149,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TADHWA NANDPUR,TADHWANANDPUR,KAHNI TOLA,Nc/Pc Scheme For Bairia Block / SC4448019,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.24 Mg/l],Fluoride[0.47 Mg/l],pH[7.16 PH],TDS[375.00 Mg/l]",,Turbidity[1.00 NTU]
150,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TADHWA NANDPUR,TADHWANANDPUR,KOSHAL ROY KE TOLA,SC1715780,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.26 Mg/l],Fluoride[0.63 Mg/l],pH[7.16 PH],TDS[395.00 Mg/l]",,Turbidity[1.00 NTU]
151,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TADHWA NANDPUR,TADHWANANDPUR,LAKNI TOLA,Inside Habitation / SC1715850,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.66 Mg/l],pH[7.21 PH],TDS[395.00 Mg/l]",,Turbidity[1.00 NTU]
152,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TADHWA NANDPUR,TADHWANANDPUR,T. NATH TOLA,Nc/Pc Scheme For Bairia Block / SC4448020,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.24 Mg/l],Fluoride[0.47 Mg/l],pH[7.16 PH],TDS[374.00 Mg/l]",,Turbidity[1.00 NTU]
153,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TADHWA NANDPUR,TADHWANANDPUR,TADHWANANDPUR,SC1715859,Shallow Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.29 Mg/l],Fluoride[0.63 Mg/l],pH[7.21 PH],TDS[369.00 Mg/l]",,Turbidity[1.00 NTU]
154,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TUMKARIYA,MALKAULI,GADAINIYA TOLA,Nc/Pc Scheme For Bairia Block / SC4448021,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.54 Mg/l],pH[7.12 PH],TDS[358.00 Mg/l]",,Turbidity[1.00 NTU]
155,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TUMKARIYA,MALKAULI,KOHAR TOLA,Nc/Pc Scheme For Bairia Block / SC4448022,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.23 Mg/l],Fluoride[0.47 Mg/l],pH[7.22 PH],TDS[375.00 Mg/l]",,Turbidity[2.00 NTU]
156,BIHAR,PASHCHIM CHAMPARAN,BAIRIA,TUMKARIYA,MALKAULI,MALKULI TOLA,Nc/Pc Scheme For Bairia Block / SC4448023,Deep Tubewell,PASHCHIM CHAMPARAN,09/09/2015,,"Iron[0.29 Mg/l],Fluoride[0.65 Mg/l],pH[7.22 PH],TDS[386.00 Mg/l]",,Turbidity[2.00 NTU]
