id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,"""Location""",Type,Scheme Name
15,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,15,KACHHWI,CHAMAR TOL,Deep tubewell,Ground Water,Location,HandPump,Bachhalal Ram(0000046060)
16,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,16,KACHHWI,CHAMAR TOL,Shallow tubewell,Ground Water,Location,HandPump,NC/PC(0006498345)
17,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,17,KACHHWI,CHAMAR TOL,Deep tubewell,Ground Water,Location,HandPump,Spot Source (Ht) Scheme(0004690599)
18,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,18,KACHHWI,GODHIYARI,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006539819)
19,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,19,KACHHWI,GODHIYARI,Deep tubewell,Ground Water,Location,HandPump,Spot Sourse(0001974174)
20,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,20,KACHHWI,JAGDAR,Shallow tubewell,Ground Water,Location,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
21,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,21,KACHHWI,JAGDAR,Shallow tubewell,Ground Water,Location,HandPump,MLA QUOTA- LAKHNAUR- 2(0005649996)
22,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,22,KACHHWI,JAGDAR,Shallow tubewell,Ground Water,Location,HandPump,MLA QUOTA- LAKHNAUR- 2(0005649996)
23,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,23,KACHHWI,JAGDAR,Deep tubewell,Ground Water,Location,SPOT,Nc/Pc Scheme For Lakhnaur Block(0004563318)
24,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,24,KACHHWI,JAGDAR,Shallow tubewell,Ground Water,Location,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
25,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,25,KACHHWI,JAGDAR,Deep tubewell,Ground Water,Location,HandPump,Spot Source (Ht) Scheme(0004690599)
26,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,26,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Location,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
27,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,27,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Location,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
28,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,28,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Location,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
29,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,29,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Location,HandPump,MLA QUOTA- LAKHNAUR- 2(0005649996)
30,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,30,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Location,HandPump,MLA QUOTA- LAKHNAUR- 2(0005649996)
31,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,31,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR- 2(0005702908)
32,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,32,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006496415)
33,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,33,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006496415)
34,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,34,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006496415)
35,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,35,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006496415)
36,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,36,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006496415)
37,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,37,KACHHWI,KACHHUBI,Deep tubewell,Ground Water,Location,SPOT,Nc/Pc Scheme For Lakhnaur Block(0004563319)
38,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,38,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Location,HandPump,SCHOOL T/W- LAKHNAUR- 1(0006229956)
39,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,39,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Location,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
40,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,40,KACHHWI,KACHHUBI,Deep tubewell,Ground Water,Location,HandPump,Spot Source Scheme(0004720604)
41,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,41,KACHHWI,PASWAN TOL,Shallow tubewell,Ground Water,Location,HandPump,NC/PC(0006498345)
42,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,42,KACHHWI,PASWAN TOL,Deep tubewell,Ground Water,Location,HandPump,Spot Source (Ht) Scheme(0004690599)
43,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,43,KACHHWI,PASWAN TOL,Deep tubewell,Ground Water,Location,HandPump,Sukhdev Pasw an(0000046057)
44,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,44,KACHHWI,PURYABA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006539819)
45,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,45,KACHHWI,PURYABA,Deep tubewell,Ground Water,Location,HandPump,Spot Sourse(0001974174)
46,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,46,KACHHWI,RAHI TOL,Deep tubewell,Ground Water,Location,HandPump,Spot Sourse(0001974174)
47,Madhubani,Jhanjharpur,LAKHNAUR,KACHHUBI,47,KACHHWI,RAHI TOL,Shallow tubewell,Ground Water,Location,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LAKHNUR(0005820378)
48,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,1,NARUAR,BHAWANI PUR,Deep tubewell,Ground Water,Location,HandPump,Hand tubewell Scheme(0004690569)
49,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,2,NARUAR,BHAWANI PUR,Shallow tubewell,Ground Water,Location,HandPump,NC/PC JHANJHARPUR- 1(0005700368)
50,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,3,NARUAR,BHAWANI PUR,Shallow tubewell,Ground Water,Location,HandPump,NC/PC JHANJHARPUR- 1(0005700368)
51,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,4,NARUAR,BHAWANI PUR,Deep tubewell,Ground Water,Location,SPOT,Nc/Pc Scheme For Jhanjharpur Block(0004563185)
52,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,5,NARUAR,BIEBALA TOL,Deep tubewell,Ground Water,Location,HandPump,Hand tubewell Scheme(0004690569)
53,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,6,NARUAR,BIEBALA TOL,Deep tubewell,Ground Water,Location,SPOT,Nc/Pc Scheme For Jhanjharpur Block(0004563186)
54,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,7,NARUAR,DUSADH TOL,Deep tubewell,Ground Water,Location,HandPump,Hand tubewell Scheme(0004690569)
55,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,8,NARUAR,DUSADH TOL,Deep tubewell,Ground Water,Location,SPOT,Nc/Pc Scheme For Jhanjharpur Block(0004563187)
56,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,9,NARUAR,GODHIYAOI,Shallow tubewell,Ground Water,Location,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
57,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,10,NARUAR,GODHIYAOI,Shallow tubewell,Ground Water,Location,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
58,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,11,NARUAR,GODHIYAOI,Shallow tubewell,Ground Water,Location,HandPump,MLA QUOTA- JHANJHARPUR- 5(0005659973)
59,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,12,NARUAR,GODHIYAOI,Shallow tubewell,Ground Water,Location,HandPump,MLA QUOTA- JHANJHARPUR- 5(0005659973)
60,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,13,NARUAR,GODHIYAOI,Shallow tubewell,Ground Water,Location,HandPump,SCHOOL T/W- JHANJHARPUR- 2(0006245045)
61,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,14,NARUAR,GODHIYAOI,Deep tubewell,Ground Water,Location,HandPump,Spot Source(0001975219)
62,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,15,NARUAR,GODHIYAOI,Shallow tubewell,Ground Water,Location,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD JHANJHARPUR(0005820213)
63,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,16,NARUAR,KANHAULI TOL,Deep tubewell,Ground Water,Location,HandPump,Spot Source(0001975219)
64,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,17,NARUAR,KHATWE TOL,Deep tubewell,Ground Water,Location,HandPump,Spot Source(0002677967)
65,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,18,NARUAR,MALLAH TOL,Deep tubewell,Ground Water,Location,HandPump,Hand tubewell Scheme(0004690569)
66,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,19,NARUAR,MALLAH TOL,Deep tubewell,Ground Water,Location,SPOT,Nc/Pc Scheme For Jhanjharpur Block(0004563188)
67,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,20,NARUAR,MUKHIYA JEE TOL,Deep tubewell,Ground Water,Location,HandPump,Hand tubewell Scheme(0004690569)
68,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,21,NARUAR,MUKHIYA JEE TOL,Deep tubewell,Ground Water,Location,SPOT,Nc/Pc Scheme For Jhanjharpur Block(0004563189)
69,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,22,NARUAR,MUSAHARI,Deep tubewell,Ground Water,Location,HandPump,Spot Source(0001975219)
70,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,23,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,Angan Wari(0004945194)
71,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,24,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,Angan Wari(0004945195)
72,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,25,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
73,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,26,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
74,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,27,NARUAR,NARUAR,Deep tubewell,Ground Water,Location,HandPump,Hand tubewell Scheme(0004690569)
75,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,28,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
76,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,29,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
77,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,30,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
78,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,31,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,MLA QUOTA- JHANJHARPUR- 5(0005659973)
79,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,32,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,MLA QUOTA- JHANJHARPUR- 5(0005659973)
80,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,33,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,MLA QUOTA- JHANJHARPUR- 5(0005659973)
81,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,34,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,MLC QOUTA JHANJHARPUR(0006388330)
82,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,35,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,NC/PC JHANJHARPUR(0006495982)
83,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,36,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,NC/PC JHANJHARPUR(0006495982)
84,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,37,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,NC/PC JHANJHARPUR(0006495982)
85,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,38,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,NC/PC JHANJHARPUR(0006495982)
86,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,39,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,NC/PC JHANJHARPUR(0006495982)
87,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,40,NARUAR,NARUAR,Deep tubewell,Ground Water,Location,SPOT,Nc/Pc Scheme For Jhanjharpur Block(0004563190)
88,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,41,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,SCHOOL T/W- JHANJHARPUR- 2(0006245045)
89,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,42,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,SCHOOL T/W- JHANJHARPUR- 2(0006245045)
90,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,43,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,SCHOOL T/W- JHANJHARPUR- 2(0006245045)
91,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,44,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,SCHOOL T/W- JHANJHARPUR- 2(0006245045)
92,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,45,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,SCHOOL T/W- JHANJHARPUR- 2(0006245045)
93,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,46,NARUAR,NARUAR,Shallow tubewell,Ground Water,Location,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD JHANJHARPUR(0005820213)
94,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,47,NARUAR,PURAN DAHA,Deep tubewell,Ground Water,Location,HandPump,Near Hiirdya Narayan Mishra(0000683987)
95,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,48,NARUAR,PURAN DAHA,Deep tubewell,Ground Water,Location,HandPump,Near Lalan Ji Mishra(0000683981)
96,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,49,NARUAR,PURAN DAHA,Deep tubewell,Ground Water,Location,HandPump,Spot Source(0001975219)
97,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,50,NARUAR,TELI & NAI TOL,Shallow tubewell,Ground Water,Location,HandPump,NC/PC JHANJHARPUR(0006534780)
98,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,51,NARUAR,TELI & NAI TOL,Shallow tubewell,Ground Water,Location,HandPump,NC/PC JHANJHARPUR(0006534780)
99,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,52,NARUAR,TELI & NAI TOL,Shallow tubewell,Ground Water,Location,HandPump,NC/PC JHANJHARPUR(0006534780)
100,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,53,NARUAR,TELI & NAI TOL,Shallow tubewell,Ground Water,Location,HandPump,NC/PC JHANJHARPUR(0006538911)
101,Madhubani,Jhanjharpur,JHANJHARPUR,NARUAR,54,NARUAR,TELI & NAI TOL,Deep tubewell,Ground Water,Location,HandPump,Spot Source(0001975219)
102,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,1,BALIA,BALIYA,Shallow tubewell,Ground Water,Location,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
103,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,2,BALIA,BALIYA,Shallow tubewell,Ground Water,Location,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
104,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,3,BALIA,BALIYA,Shallow tubewell,Ground Water,Location,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
105,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,4,BALIA,BALIYA,Shallow tubewell,Ground Water,Location,HandPump,MLA QUOTA- LAKHNAUR- 2(0005649996)
106,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,5,BALIA,BALIYA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR- 1(0005702709)
107,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,6,BALIA,BALIYA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR- 1(0005702602)
108,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,7,BALIA,BALIYA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC(0006498345)
109,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,8,BALIA,BALIYA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC(0006498345)
110,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,9,BALIA,BALIYA,Deep tubewell,Ground Water,Location,HandPump,Near Bulan Saday(0000684014)
111,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,10,BALIA,BALIYA,Deep tubewell,Ground Water,Location,HandPump,Near Gulle Saday(0000684018)
112,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,11,BALIA,BALIYA,Shallow tubewell,Ground Water,Location,HandPump,SCHOOL T/W- LAKHNAUR- 1(0006229956)
113,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,12,BALIA,BALIYA,Shallow tubewell,Ground Water,Location,HandPump,SCHOOL T/W- LAKHNAUR- 1(0006229956)
114,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,13,BALIA,BALIYA,Shallow tubewell,Ground Water,Location,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
115,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,14,BALIA,BALIYA,Deep tubewell,Ground Water,Location,HandPump,Spot Source Scheme(0004738657)
116,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,15,BALIA,BALIYA,Deep tubewell,Ground Water,Location,HandPump,Spot Source(0004056291)
117,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,16,BALIA,BRAHMAN TOL,Deep tubewell,Ground Water,Location,HandPump,Durga Mandir(0000046161)
118,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,17,BALIA,BRAHMAN TOL,Deep tubewell,Ground Water,Location,HandPump,Mahadev Mandir(0000046154)
119,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,18,BALIA,BRAHMAN TOL,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006535106)
120,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,19,BALIA,BRAHMAN TOL,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006535106)
121,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,20,BALIA,BRAHMAN TOL,Shallow tubewell,Ground Water,Location,HandPump,NC/PC(0006498345)
122,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,21,BALIA,BRAHMAN TOL,Shallow tubewell,Ground Water,Location,HandPump,NC/PC(0006498345)
123,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,22,BALIA,BRAHMAN TOL,Shallow tubewell,Ground Water,Location,HandPump,NC/PC(0006498345)
124,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,23,BALIA,BRAHMAN TOL,Deep tubewell,Ground Water,Location,HandPump,Near Of Gulli Sadai(0000046162)
125,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,24,BALIA,BRAHMAN TOL,Deep tubewell,Ground Water,Location,HandPump,Spot Source(0002678309)
126,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,25,BALIA,BRAHMAN TOL,Deep tubewell,Ground Water,Location,HandPump,Sunil Kataghara(0000046158)
127,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,26,BALIA,MUSAHARI,Shallow tubewell,Ground Water,Location,HandPump,MLA QUOTA- LAKHNAUR- 2(0005649996)
128,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,27,BALIA,MUSAHARI,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006535106)
129,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,28,BALIA,MUSAHARI,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006535106)
130,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,29,BALIA,MUSAHARI,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006535106)
131,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,30,BALIA,MUSAHARI,Shallow tubewell,Ground Water,Location,HandPump,SCHOOL T/W- LAKHNAUR- 1(0006229956)
132,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,31,BALIA,MUSAHARI,Deep tubewell,Ground Water,Location,HandPump,Spot Source(0004056234)
133,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,32,BALIA,MUSAHARI,Deep tubewell,Ground Water,Location,HandPump,Spot Source(0004056306)
134,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,33,KASIAM,KASIYANA,Shallow tubewell,Ground Water,Location,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
135,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,34,KASIAM,KASIYANA,Shallow tubewell,Ground Water,Location,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
136,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,35,KASIAM,KASIYANA,Shallow tubewell,Ground Water,Location,HandPump,MLA QUOTA- LAKHNAUR- 2(0005649996)
137,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,36,KASIAM,KASIYANA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006496415)
138,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,37,KASIAM,KASIYANA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006496415)
139,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,38,KASIAM,KASIYANA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006496415)
140,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,39,KASIAM,KASIYANA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006496415)
141,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,40,KASIAM,KASIYANA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006496415)
142,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,41,KASIAM,KASIYANA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006496415)
143,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,42,KASIAM,KASIYANA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006496415)
144,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,43,KASIAM,KASIYANA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006496415)
145,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,44,KASIAM,KASIYANA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006496415)
146,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,45,KASIAM,KASIYANA,Shallow tubewell,Ground Water,Location,HandPump,NC/PC LAKHNAUR(0006496415)
147,Madhubani,Jhanjharpur,LAKHNAUR,BALIA,46,KASIAM,KASIYANA,Shallow tubewell,Ground Water,Location,HandPump,SCHOOL T/W- LAKHNAUR-2(0006233328)
