S. No.,State,District,Block,Panchayat,Village,Habitation,Location,Type Of Source,Lab Name,Testing Date,Above Permissible Limit +ACY- (6.5 +ADw- pH +AD4- 8.5) (Mandatory+ACo-),Below Permissible Limit (Mandatory+ACo-),Above Permissible Limit (Emerging / Other+ACoAKg-),Below Permissible Limit (Emerging / Other+ACoAKg-)
21,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,DUANIA HARIJAN TOLA,NEAR ROAD / SC3991780,Deep Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.17 Mg/l+AF0-,Fluoride+AFs-0.69 Mg/l+AF0-,pH+AFs-7.03 PH+AF0-,TDS+AFs-399.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
22,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,DUANIA HARIJAN TOLA,NEAR ROAD / SC3991780,Deep Tubewell,SAHARSA,20/05/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.98 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-527.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
23,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,DUANIA HARIJAN TOLA,NEAR RIVER / SC5596096,Shallow Tubewell,SAHARSA,20/05/2015,,+ACI-Iron+AFs-0.28 Mg/l+AF0-,Fluoride+AFs-0.87 Mg/l+AF0-,pH+AFs-7.24 PH+AF0-,TDS+AFs-412.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
24,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,DUANIA HARIJAN TOLA,NEAR RIVER / SC5596096,Shallow Tubewell,SAHARSA,01/09/2015,Iron+AFs-1.14 Mg/l+AF0-,+ACI-Fluoride+AFs-0.58 Mg/l+AF0-,pH+AFs-7.33 PH+AF0-,TDS+AFs-336.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
25,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,HANRMA TOLA,NEAR ROAD / SC1711967,Shallow Tubewell,SAHARSA,20/05/2015,Iron+AFs-1.25 Mg/l+AF0-,+ACI-Fluoride+AFs-0.85 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-419.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
26,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,HANRMA TOLA,NEAR ROAD / SC1711967,Shallow Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.15 Mg/l+AF0-,Fluoride+AFs-0.98 Mg/l+AF0-,pH+AFs-7.17 PH+AF0-,TDS+AFs-395.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
27,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,HANRMA TOLA,NEAR CHABUTRA / SC3624117,Shallow Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.23 Mg/l+AF0-,Fluoride+AFs-0.87 Mg/l+AF0-,pH+AFs-7.07 PH+AF0-,TDS+AFs-328.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
28,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,HANRMA TOLA,NEAR CHABUTRA / SC3624117,Shallow Tubewell,SAHARSA,20/05/2015,Iron+AFs-1.29 Mg/l+AF0-,+ACI-Fluoride+AFs-0.87 Mg/l+AF0-,pH+AFs-7.27 PH+AF0-,TDS+AFs-412.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-1.00 NTU+AF0-
29,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,INUM TOLA,NEAR VILLAGE CHAUK / SC1756117,Shallow Tubewell,SAHARSA,01/09/2015,,+ACI-Iron+AFs-0.26 Mg/l+AF0-,Fluoride+AFs-0.87 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-369.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-3.00 NTU+AF0-
30,BIHAR,SAHARSA,SONBARSA,SONBARSA,SONBARSA,INUM TOLA,NEAR VILLAGE CHAUK / SC1756117,Shallow Tubewell,SAHARSA,20/05/2015,Iron+AFs-1.25 Mg/l+AF0-,+ACI-Fluoride+AFs-0.85 Mg/l+AF0-,pH+AFs-7.23 PH+AF0-,TDS+AFs-417.00 Mg/l+AF0-+ACI-,,Turbidity+AFs-2.00 NTU+AF0-
