id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
57,Supaul,Chattapur,CHHATAPUR,SOHATHA,57,SAHATA,CHAMAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
58,Supaul,Chattapur,CHHATAPUR,SOHATHA,58,SAHATA,CHAMAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
59,Supaul,Chattapur,CHHATAPUR,SOHATHA,59,SAHATA,CHAMAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
60,Supaul,Chattapur,CHHATAPUR,SOHATHA,60,SAHATA,GHAMGER TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
61,Supaul,Chattapur,CHHATAPUR,SOHATHA,61,SAHATA,GHAMGER TOLA,Deep Tubew ell,Ground Water,T/W 1,HandPump,Chhatapur Spot Source Scheme(0007084845)
62,Supaul,Chattapur,CHHATAPUR,SOHATHA,62,SAHATA,GHAMGER TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
63,Supaul,Chattapur,CHHATAPUR,SOHATHA,63,SAHATA,GHAMGER TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
64,Supaul,Chattapur,CHHATAPUR,SOHATHA,64,SAHATA,MEHTA TOLA I,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
65,Supaul,Chattapur,CHHATAPUR,SOHATHA,65,SAHATA,MEHTA TOLA I,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
66,Supaul,Chattapur,CHHATAPUR,SOHATHA,66,SAHATA,MEHTA TOLA I,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
67,Supaul,Chattapur,CHHATAPUR,SOHATHA,67,SAHATA,MEHTA TOLA I,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
68,Supaul,Chattapur,CHHATAPUR,SOHATHA,68,SAHATA,MEHTA TOLA I,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
69,Supaul,Chattapur,CHHATAPUR,SOHATHA,69,SAHATA,MEHTA TOLA I,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
70,Supaul,Chattapur,CHHATAPUR,SOHATHA,70,SAHATA,MEHTA TOLA I,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
71,Supaul,Chattapur,CHHATAPUR,SOHATHA,71,SAHATA,MEHTA TOLA II,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
72,Supaul,Chattapur,CHHATAPUR,SOHATHA,72,SAHATA,MEHTA TOLA II,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
73,Supaul,Chattapur,CHHATAPUR,SOHATHA,73,SAHATA,MEHTA TOLA II,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
74,Supaul,Chattapur,CHHATAPUR,SOHATHA,74,SAHATA,MEHTA TOLA II,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
75,Supaul,Chattapur,CHHATAPUR,SOHATHA,75,SAHATA,MEHTA TOLA II,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
76,Supaul,Chattapur,CHHATAPUR,SOHATHA,76,SAHATA,MEHTA TOLA II,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
77,Supaul,Chattapur,CHHATAPUR,SOHATHA,77,SAHATA,MEHTA TOLA II,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
78,Supaul,Chattapur,CHHATAPUR,SOHATHA,78,SAHATA,MEHTA TOLA II,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
79,Supaul,Chattapur,CHHATAPUR,SOHATHA,79,SAHATA,MUSAHAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
80,Supaul,Chattapur,CHHATAPUR,SOHATHA,80,SAHATA,MUSAHAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatarpur Sohatha Hp(0004678697)
81,Supaul,Chattapur,CHHATAPUR,SOHATHA,81,SAHATA,MUSAHAR TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatarpur Sohatha Hp(0004678697)
82,Supaul,Chattapur,CHHATAPUR,SOHATHA,82,SAHATA,SARDAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001433036)
83,Supaul,Chattapur,CHHATAPUR,SOHATHA,83,SAHATA,SARDAR TOLA,Shallow Tubew ell,Ground Water,,HandPump,ARWSP(0001433036)
84,Supaul,Chattapur,CHHATAPUR,SOHATHA,84,SAHATA,SARDAR TOLA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
85,Supaul,Chattapur,CHHATAPUR,SOHATHA,85,SAHATA,SARDAR TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Spot Source Scheme(0004016296)
86,Supaul,Chattapur,CHHATAPUR,SOHATHA,86,SAHATA,SARDAR TOLA 2,Deep Tubew ell,Ground Water,T/W 1,HandPump,Chhatapur Spot Source Scheme(0007084845)
87,Supaul,Chattapur,CHHATAPUR,SOHATHA,87,SAHATA,SARDAR TOLA 2,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Chhatapur Block,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532711)
88,Supaul,Chattapur,CHHATAPUR,SOHATHA,88,SAHATA,SARDAR TOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532711)
89,Supaul,Chattapur,CHHATAPUR,SOHATHA,89,SAHATA,SARDAR TOLA 2,Deep Tubew ell,Ground Water,Inside Habitation,SPOT,Nc/Pc Scheme For Chhatapur Block(0004532711)
90,Supaul,Chattapur,CHHATAPUR,SOHATHA,90,SAHATA,SOHATHA,Deep Tubew ell,Ground Water,Community House 162,HandPump,Chhatapur Anganw adi Scheme(0005084771)
91,Supaul,Chattapur,CHHATAPUR,SOHATHA,91,SAHATA,SOHATHA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Chhatapur Anganw adi Scheme(0005084771)
92,Supaul,Chattapur,CHHATAPUR,SOHATHA,92,SAHATA,SOHATHA,Deep Tubew ell,Ground Water,,PWS,Chhatapur Mini Water Supply Scheme(0004672678)
93,Supaul,Chattapur,CHHATAPUR,SOHATHA,93,SAHATA,SOHATHA,Deep Tubew ell,Ground Water,,HandPump,Chhatapur Spot Source Scheme(0004016296)
94,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,1,JIWACHHPUR,ADIBASI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446421)
95,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,2,JIWACHHPUR,ADIBASI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446421)
96,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,3,JIWACHHPUR,ADIBASI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446421)
97,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,4,JIWACHHPUR,ADIBASI TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Spot Source(0006546065)
98,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,5,JIWACHHPUR,DHANUK TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446393)
99,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,6,JIWACHHPUR,DHANUK TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,ARWSP(0001446393)
100,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,7,JIWACHHPUR,DHANUK TOLA,Shallow Tubew ell,Ground Water,Inside Habitation,HandPump,Bhimnagar Hp(0004739154)
101,Supaul,Chattapur,CHHATAPUR,JIBACHHPUR,8,JIWACHHPUR,DHANUK TOLA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Bhimnagar Hp(0004739154)
