id,Disctrict,AC,Block,Panchayat,,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
39,Pashchim Champaran,Bettiah,MAJHAULIA,AMAWA MAJHAR,12,AMWA MAJHAR,MUSHHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545559)
40,Pashchim Champaran,Bettiah,MAJHAULIA,AMAWA MAJHAR,13,AMWA MAJHAR,NAWOKA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545560)
41,Pashchim Champaran,Bettiah,MAJHAULIA,AMAWA MAJHAR,14,AMWA MAJHAR,PARWA,Shallow tubewell,Ground Water,Rambalak Prasad,HandPump,Majhauliya MMCY Scheme(0006500720)
42,Pashchim Champaran,Bettiah,MAJHAULIA,AMAWA MAJHAR,15,AMWA MAJHAR,PARWA,Shallow tubewell,Ground Water,Mahendra Patel,HandPump,Majhauliya MMCY Scheme(0006500720)
43,Pashchim Champaran,Bettiah,MAJHAULIA,AMAWA MAJHAR,16,AMWA MAJHAR,PARWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545561)
44,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,1,AUNHAR SHEKH,AHIR TOLI,Shallow tubewell,Ground Water,Pachim Tola,HandPump,Majhauliya MMCY Scheme(0006500963)
45,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,2,AUNHAR SHEKH,AHIR TOLI,Shallow tubewell,Ground Water,Purbi Tola,HandPump,Majhauliya MMCY Scheme(0006500963)
46,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,3,AUNHAR SHEKH,AHIR TOLI,Shallow tubewell,Ground Water,Near Mandir,HandPump,Majhauliya MMCY Scheme(0006500963)
47,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,4,AUNHAR SHEKH,AHIR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545544)
48,Pashchim Champaran,Bettiah,MAJHAULIA,AHWAR KUDIYA,5,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Teliya Tola Shambhu Patel,HandPump,Majhauliya MMCY Scheme(0006500782)
